ID	muts	dnds	Pvalue	Gene_Name	
PD30272_10	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_11	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_12	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_13	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_14	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_15	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_16	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_17	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_18	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_19	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_1	12	2.86075972754279	0.521524438491687	NOTCH1
PD30272_20	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_21	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_22	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_23	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_24	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_25	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_26	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_27	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_28	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_29	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_2	37	5.15570778242663	0.0874205810369627	NOTCH1
PD30272_30	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_31	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_32	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_33	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_34	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_35	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_36	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_37	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_38	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_39	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_3	42	5.65476600404213	0.0395999119062009	NOTCH1
PD30272_40	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_41	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_42	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_43	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_44	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_45	45	6.06281756454024	0.0209231140628369	NOTCH1
PD30272_46	45	6.06281756454024	0.0209231140628369	NOTCH1
