name,mle,cilow,cihigh,areacutoff,nmutations
wmis,1.0100176311325335,0.8408746904878676,1.2131838747658126,0.02,2558
wnon,1.0684401135132116,0.7187210438276912,1.5883273294524645,0.02,2558
wspl,0.7572591933352786,0.3891782119068869,1.4734676000515567,0.02,2558
wtru,0.9736592971424409,0.6855561599423502,1.3828370049094625,0.02,2558
wall,1.0083092967381613,0.8415207690516417,1.2081551344649157,0.02,2558
wmis,0.9999454633869803,0.8701230733739648,1.149137358087809,0.07,4990
wnon,0.9632207724452343,0.7077574043983206,1.3108930414634534,0.07,4990
wspl,0.9249877419605245,0.5666818396322456,1.5098460245920042,0.07,4990
wtru,0.9527508950472755,0.7274363233794717,1.2478539204590409,0.07,4990
wall,0.9958605029406562,0.8682288645174887,1.1422542855314621,0.07,4990
wmis,1.0247477833669654,0.8959635693144912,1.172043211889692,0.12000000000000001,5663
wnon,0.9575934231639442,0.7084770876861245,1.2943046148206439,0.12000000000000001,5663
wspl,1.0383211204507417,0.6563554152376624,1.6425715765348048,0.12000000000000001,5663
wtru,0.9794889254060557,0.754527125457627,1.2715229481130006,0.12000000000000001,5663
wall,1.0200816071763168,0.8935222574739938,1.16456694457855,0.12000000000000001,5663
wmis,1.035878373431707,0.907699987952946,1.1821571210587523,0.17,5998
wnon,0.9877241293971599,0.7361056794879798,1.3253517571987552,0.17,5998
wspl,1.0421043443969105,0.6649170687861422,1.633258515371636,0.17,5998
wtru,1.0026285851123975,0.7769415705807262,1.2938734619813195,0.17,5998
wall,1.0324630355382343,0.9063580259140838,1.1761135106380933,0.17,5998
wmis,1.0383999532906067,0.9109990372262233,1.1836175659164527,0.22,6212
wnon,0.9865943209482713,0.7372095954067857,1.3203414065579064,0.22,6212
wspl,1.0401541628555357,0.6639271583148403,1.6295773850429596,0.22,6212
wtru,1.0010983450865973,0.7771480616528136,1.2895842452513897,0.22,6212
wall,1.0346182123422543,0.9093238818264116,1.1771766547693359,0.22,6212
wmis,1.0424065444916253,0.9147763289618629,1.1878438144897294,0.27,6349
wnon,0.9874152636670541,0.7378827797018684,1.321333048748758,0.27,6349
wspl,1.0309698462781691,0.6580909391512713,1.615124537811802,0.27,6349
wtru,0.9992796865181858,0.7757862110399317,1.287158598177875,0.27,6349
wall,1.0381678170420254,0.9126855969536268,1.1809021857464095,0.27,6349
wmis,1.0399754658986815,0.9129231868276043,1.184709716301048,0.32000000000000006,6456
wnon,0.9858424180066115,0.7381151313488381,1.3167123011895052,0.32000000000000006,6456
wspl,1.0220833974227574,0.652552989932519,1.6008730132326492,0.32000000000000006,6456
wtru,0.995661385030141,0.7739164797987129,1.2809413153961726,0.32000000000000006,6456
wall,1.0356533422145295,0.9107570746922433,1.177677203992693,0.32000000000000006,6456
wmis,1.026000400707021,0.9012482793571699,1.1680208954205231,0.37000000000000005,6519
wnon,0.9689247294003904,0.7256939665678895,1.2936791188766104,0.37000000000000005,6519
wspl,1.0106427229225796,0.6453622326633319,1.582675064794506,0.37000000000000005,6519
wtru,0.9801780369253927,0.7621348176479696,1.2606024050126614,0.37000000000000005,6519
wall,1.0215119278416787,0.8989080630550836,1.1608379784428295,0.37000000000000005,6519
wmis,1.0203256663726805,0.8965364096775191,1.1612071235716146,0.42000000000000004,6588
wnon,0.980976658836415,0.7361381096333849,1.307248181541794,0.42000000000000004,6588
wspl,0.9943607822088288,0.6350267864465681,1.5570262330629243,0.42000000000000004,6588
wtru,0.9846149328163363,0.7665184913942806,1.2647660517119157,0.42000000000000004,6588
wall,1.0169664340485036,0.8951829572733346,1.1553177141927435,0.42000000000000004,6588
wmis,1.0171343661106445,0.8938455286318843,1.1574285327653862,0.47000000000000003,6628
wnon,0.9789186233115903,0.7346291602803318,1.3044427350264487,0.47000000000000003,6628
wspl,0.9918764006761057,0.6334611179645515,1.5530847376701045,0.47000000000000003,6628
wtru,0.9824419420920415,0.7648698379824321,1.2619038189916847,0.47000000000000003,6628
wall,1.0138748475843142,0.8925748405947268,1.151659401332883,0.47000000000000003,6628
wmis,1.0185207182164504,0.8950940095580125,1.158967038499568,0.52,6672
wnon,0.9778980481491654,0.7338866289427151,1.3030413075540472,0.52,6672
wspl,0.9927798535524391,0.6340427411002475,1.5544880080312584,0.52,6672
wtru,0.9819386838358672,0.7644892787751436,1.2612388500178207,0.52,6672
wall,1.015077722974333,0.8936571803011717,1.152995585322223,0.52,6672
wmis,1.0185207182164504,0.8950940095580125,1.158967038499568,0.5700000000000001,6704
wnon,0.9778980481491654,0.7338866289427151,1.3030413075540472,0.5700000000000001,6704
wspl,0.9927798535524391,0.6340427411002475,1.5544880080312584,0.5700000000000001,6704
wtru,0.9819386838358672,0.7644892787751436,1.2612388500178207,0.5700000000000001,6704
wall,1.015077722974333,0.8936571803011717,1.152995585322223,0.5700000000000001,6704
wmis,1.0194774228941335,0.8959573956135555,1.1600263816999057,0.6200000000000001,6734
wnon,0.9769029316293596,0.7331711277465168,1.301659737692216,0.6200000000000001,6734
wspl,0.9933747463397623,0.6344269890280206,1.5554089024135187,0.6200000000000001,6734
wtru,0.981369635273932,0.764065798678999,1.26047568508207,0.6200000000000001,6734
wall,1.0158831965137207,0.8943861261102939,1.1538849260187078,0.6200000000000001,6734
wmis,1.0210616450077352,0.8973762695054396,1.1617945764049233,0.67,6758
wnon,0.9779215163166517,0.7339317915072218,1.3030236639717074,0.67,6758
wspl,0.9945589961193626,0.6351849905005282,1.5572590844479848,0.67,6758
wtru,0.9824328536324881,0.7648906391810335,1.261846154804409,0.67,6758
wall,1.01742167576378,0.8957637075836812,1.1556025964774599,0.67,6758
wmis,1.0210616450077352,0.8973762695054396,1.1617945764049233,0.7200000000000001,6773
wnon,0.9779215163166517,0.7339317915072218,1.3030236639717074,0.7200000000000001,6773
wspl,0.9945589961193626,0.6351849905005282,1.5572590844479848,0.7200000000000001,6773
wtru,0.9824328536324881,0.7648906391810335,1.261846154804409,0.7200000000000001,6773
wall,1.01742167576378,0.8957637075836812,1.1556025964774599,0.7200000000000001,6773
wmis,1.021867204457509,0.8980865721749247,1.162708157429636,0.77,6790
wnon,0.993867704715505,0.7472287179426526,1.3219152192063832,0.77,6790
wspl,0.9954878229893541,0.6357791996194591,1.5587109586366414,0.77,6790
wtru,0.9943067619744649,0.7749851648926472,1.2756965961343205,0.77,6790
wall,1.019334894596281,0.8974675289563068,1.1577506637481891,0.77,6790
wmis,1.021867204457509,0.8980865721749247,1.162708157429636,0.8200000000000001,6802
wnon,0.993867704715505,0.7472287179426526,1.3219152192063832,0.8200000000000001,6802
wspl,0.9954878229893541,0.6357791996194591,1.5587109586366414,0.8200000000000001,6802
wtru,0.9943067619744649,0.7749851648926472,1.2756965961343205,0.8200000000000001,6802
wall,1.019334894596281,0.8974675289563068,1.1577506637481891,0.8200000000000001,6802
wmis,1.021867204457509,0.8980865721749247,1.162708157429636,0.8700000000000001,6811
wnon,0.993867704715505,0.7472287179426526,1.3219152192063832,0.8700000000000001,6811
wspl,0.9954878229893541,0.6357791996194591,1.5587109586366414,0.8700000000000001,6811
wtru,0.9943067619744649,0.7749851648926472,1.2756965961343205,0.8700000000000001,6811
wall,1.019334894596281,0.8974675289563068,1.1577506637481891,0.8700000000000001,6811
wmis,1.021867204457509,0.8980865721749247,1.162708157429636,0.92,6824
wnon,0.993867704715505,0.7472287179426526,1.3219152192063832,0.92,6824
wspl,0.9954878229893541,0.6357791996194591,1.5587109586366414,0.92,6824
wtru,0.9943067619744649,0.7749851648926472,1.2756965961343205,0.92,6824
wall,1.019334894596281,0.8974675289563068,1.1577506637481891,0.92,6824
wmis,1.0232010960674935,0.8992855460225163,1.16419138239714,0.9700000000000001,6831
wnon,0.99473786197179,0.7478803877291849,1.3230770993269012,0.9700000000000001,6831
wspl,0.9964757275279645,0.6364123617741784,1.5602523382547446,0.9700000000000001,6831
wtru,0.9952088078743583,0.7756867024513607,1.2768564526640271,0.9700000000000001,6831
wall,1.0206304465399578,0.8986317390963516,1.159191761301304,0.9700000000000001,6831
wmis,1.0252227922487243,0.9010850242252118,1.16646237090671,1.02,6841
wnon,0.9960563163045256,0.7488647819425875,1.3248428944361863,1.02,6841
wspl,0.9979466991782395,0.6373540298714242,1.5625501177134626,1.02,6841
wtru,0.9965685672607387,0.7767405982754478,1.2786107890551266,1.02,6841
wall,1.022592814350316,0.9003781752661134,1.1613965028104294,1.02,6841
wmis,1.0252227922487243,0.9010850242252118,1.16646237090671,1.07,6849
wnon,0.9960563163045256,0.7488647819425875,1.3248428944361863,1.07,6849
wspl,0.9979466991782395,0.6373540298714242,1.5625501177134626,1.07,6849
wtru,0.9965685672607387,0.7767405982754478,1.2786107890551266,1.07,6849
wall,1.022592814350316,0.9003781752661134,1.1613965028104294,1.07,6849
wmis,1.0252227922487243,0.9010850242252118,1.16646237090671,1.12,6852
wnon,0.9960563163045256,0.7488647819425875,1.3248428944361863,1.12,6852
wspl,0.9979466991782395,0.6373540298714242,1.5625501177134626,1.12,6852
wtru,0.9965685672607387,0.7767405982754478,1.2786107890551266,1.12,6852
wall,1.022592814350316,0.9003781752661134,1.1613965028104294,1.12,6852
wmis,1.0252227922487243,0.9010850242252118,1.16646237090671,1.1700000000000002,6860
wnon,0.9960563163045256,0.7488647819425875,1.3248428944361863,1.1700000000000002,6860
wspl,0.9979466991782395,0.6373540298714242,1.5625501177134626,1.1700000000000002,6860
wtru,0.9965685672607387,0.7767405982754478,1.2786107890551266,1.1700000000000002,6860
wall,1.022592814350316,0.9003781752661134,1.1613965028104294,1.1700000000000002,6860
wmis,1.0252227922487243,0.9010850242252118,1.16646237090671,1.2200000000000002,6870
wnon,0.9960563163045256,0.7488647819425875,1.3248428944361863,1.2200000000000002,6870
wspl,0.9979466991782395,0.6373540298714242,1.5625501177134626,1.2200000000000002,6870
wtru,0.9965685672607387,0.7767405982754478,1.2786107890551266,1.2200000000000002,6870
wall,1.022592814350316,0.9003781752661134,1.1613965028104294,1.2200000000000002,6870
wmis,1.0252227922487243,0.9010850242252118,1.16646237090671,1.27,6875
wnon,0.9960563163045256,0.7488647819425875,1.3248428944361863,1.27,6875
wspl,0.9979466991782395,0.6373540298714242,1.5625501177134626,1.27,6875
wtru,0.9965685672607387,0.7767405982754478,1.2786107890551266,1.27,6875
wall,1.022592814350316,0.9003781752661134,1.1613965028104294,1.27,6875
wmis,1.0252227922487243,0.9010850242252118,1.16646237090671,1.32,6880
